english,finnish,amnesiac abilities,savant infos
The Saint's identity has been kept a secret.,The Saintin henkilöllisyys on pidetty salassa.,,
The Baron's presence suggests more Outsiders in play.,The Baronin läsnäolo viittaa useampiin Outsiders-peleihin.,,
The Empath received a count of two last night.,The Empath sai kahden luvun viime yönä.,,
The Fortune Teller's predictions have raised suspicions.,The Fortune Tellerin ennusteet ovat herättäneet epäilyksiä.,,
The Slayer has not used their ability yet.,The Slayer ei ole käyttänyt kykyään vielä.,,
The Imp has bluffed as the Drunk.,The Imp on bluffannut olevansa Drunk.,,
The Scarlet Woman has been acting as a backup for the Demon.,The Scarlet Woman on toiminut Demonin varahenkilönä.,,
The Monk's protections have been crucial this game.,The Monkin suojaukset ovat olleet ratkaisevia tässä pelissä.,,
The Demon's kill pattern is unpredictable.,Demonin tappokuvio on arvaamaton.,,
The Chef's count has influenced early game suspicions.,The Chefin luku on vaikuttanut alkupelin epäilyksiin.,,
The Soldier is certain of their immunity to the Demon's attacks.,The Soldier on varma immuunisuudestaan Demonin hyökkäyksiä kohtaan.,,
The Ravenkeeper's ability has not yet been triggered.,The Ravenkeeperin kykyä ei ole vielä laukaistu.,,
"The Poisoner has targeted an Outsider, hoping to sow confusion.",The Poisoner on kohdentanut Outsideriin toivoen aiheuttavansa sekaannusta.,,
The Butler's voting restrictions caused a tie in the last vote.,The Butlerin äänestysrajoitukset aiheuttivat tasapelin viimeisessä äänestyksessä.,,
The Drunk's misinformation led to an incorrect execution.,The Drunkin virheellinen tieto johti väärään teloitukseen.,,
The Chef received a higher count than expected.,The Chef sai odotettua suuremman luvun.,,
The Monk believes they prevented the Demon's kill last night.,The Monk uskoo estäneensä Demonin tapon viime yönä.,,
The Saint's identity remains a mystery to the evil players.,The Saintin henkilöllisyys pysyy pahojen pelaajien mysteerinä.,,
The Imp has considered using their self-kill ability.,The Imp on harkinnut itsemurhakyvyn käyttämistä.,,
The Recluse is suspected of being the Demon by the village.,The Reclusea epäillään Demoniksi kylässä.,,
The Empath got a consistent reading for two nights in a row.,The Empath sai johdonmukaisen lukeman kahden peräkkäisen yön ajan.,,
The Spy is gathering information while acting like a Townsfolk.,The Spy kerää tietoa toimiessaan kuin Townsfolk.,,
The Slayer is keeping their identity a secret to surprise the Demon.,The Slayer pitää henkilöllisyytensä salassa yllättääkseen Demonin.,,
The Soldier's presence has deterred the Demon from attacking them.,The Soldierin läsnäolo on estänyt Demonin hyökkäyksen heihin.,,
The Undertaker's findings have confirmed two evil players.,The Undertakerin löydöt ovat vahvistaneet kaksi pahaa pelaajaa.,,
The Washerwoman's clues have validated another player's claim.,The Washerwomanin vihjeet ovat vahvistaneet toisen pelaajan väitteen.,,
The Fortune Teller's readings have been inconsistent.,The Fortune Tellerin lukemat ovat olleet epäjohdonmukaisia.,,
The Baron's presence has increased the number of Outsiders.,The Baronin läsnäolo on lisännyt Outsiderien määrää.,,
The Investigator is keeping their findings private for now.,The Investigator pitää löytönsä yksityisinä toistaiseksi.,,
The Virgin's role has been publicly confirmed.,The Virginin rooli on julkisesti vahvistettu.,,
The Demon tried to target the Soldier and failed.,Demon yritti kohdentaa Soldieriin ja epäonnistui.,,
The Scarlet Woman is prepared to take over if the Imp is killed.,"The Scarlet Woman on valmis ottamaan johdon, jos Imp tapetaan.",,
The Empath is uncertain about their last reading.,The Empath on epävarma viimeisestä lukemastaan.,,
The Seer has been cross-referencing with other investigators.,The Seer on vertaillut tietoja muiden tutkijoiden kanssa.,,
The Slayer took a shot but missed the Demon.,"The Slayer ampui, mutta ei osunut Demoniin.",,
The Mayor's influence has swayed several votes.,The Mayorin vaikutus on ohjannut useita ääniä.,,
The Gambler's guess was risky but correct.,The Gamblerin arvaus oli riskialtis mutta oikea.,,
The Ravenkeeper is awaiting a strategic moment to reveal their info.,The Ravenkeeper odottaa strategista hetkeä paljastaakseen tietonsa.,,
The Demon's pattern suggests they're avoiding certain roles.,Demonin kaava viittaa tiettyjen roolien välttämiseen.,,
The Baron's influence is suspected due to multiple Outsiders.,The Baronin vaikutusta epäillään useiden Outsiderien vuoksi.,,
The Drunk's role has caused confusion in their own findings.,The Drunkin rooli on aiheuttanut sekaannusta heidän omiin löytöihinsä.,,
The Undertaker has confirmed that the last player executed was a Townsfolk.,"The Undertaker on vahvistanut, että viimeksi teloitettu pelaaja oli Townsfolk.",,
"The Poisoner targeted the Seer, potentially affecting their vision.","The Poisoner kohdensi Seeriin, mahdollisesti vaikuttaen heidän näkyihinsä.",,
The Butler was unable to vote yesterday due to their own ability restrictions.,The Butler ei voinut äänestää eilen omien kykyrajoitustensa vuoksi.,,
"The Slayer used their ability on a player but didn't trigger a death, indicating they didn't target the Demon.","The Slayer käytti kykyään pelaajaan, mutta kuolemaa ei tapahtunut, mikä osoittaa, ettei hän kohdannut Demonia.",,
The Fortune Teller received a 'yes' ping when divining two specific players.,The Fortune Teller sai 'kyllä' viestin ennustaessaan kahta tiettyä pelaajaa.,,
The Recluse was confirmed as an evil player by an investigative role.,The Recluse vahvistettiin pahaksi pelaajaksi tutkivalla roolilla.,,
The Soldier was targeted for a kill last night but survived.,"The Soldieria yritettiin tappaa viime yönä, mutta hän selvisi.",,
The Monk's protection of another player prevented a Demon's kill.,The Monkin suojaus toista pelaajaa kohtaan esti Demonin tapon.,,
The Mayor's ability will double the votes if they are the final living player.,"The Mayorin kyky tuplaa äänet, jos he ovat viimeinen elossa oleva pelaaja.",,
The Ravenkeeper has been killed and is now awaiting information from the dead.,The Ravenkeeper on tapettu ja odottaa nyt tietoa kuolleilta.,,
The Imp chose to kill their own Minion to divert suspicion.,Imp päätti tappaa oman Minioninsa johdattamaan epäilyt muualle.,,
The Chef's count of two suggests there are two pairs of evil players sitting together.,"The Chef'in kahden luku viittaa siihen, että kaksi pahaa pelaajaa istuu yhdessä.",,
The Drunk was shown as the Demon by the Seer.,The Drunk nähtiin Demonina Seerin kyvyllä.,,
"The Virgin's ability was triggered when nominated by another player, causing the nominator's death.","The Virginin kyky laukesi, kun toinen pelaaja nimesi heidät, aiheuttaen nimeäjän kuoleman.",,
The Spy was viewed as a Townsfolk by the Seer's ability.,The Spy nähtiin Townsfolkina Seerin kyvyllä.,,
"The Empath received a count of zero last night, indicating no immediate evil neighbors.","The Empath sai nollan luvun viime yönä, mikä viittaa siihen, että hänellä ei ole välittömiä pahoja naapureita.",,
The Investigator was told one of two players is a particular Outsider.,"The Investigatorille kerrottiin, että yksi kahdesta pelaajasta on tietty Outsider.",,
The Washerman's information conflicted with another player's claim.,The Washermanin tiedot olivat ristiriidassa toisen pelaajan väitteen kanssa.,,
"The Poisoner targeted the Monk, potentially affecting their protection ability.","The Poisoner kohdisti Monkkiin, mikä saattaa vaikuttaa heidän suojakykyynsä.",,
The Baron's presence in the game suggests there are extra Outsiders.,"The Baronin läsnäolo pelissä viittaa siihen, että ylimääräisiä Outsiders pelaajia on mukana.",,
The Gambler guessed a player's role correctly and survived the night.,The Gambler arvasi pelaajan roolin oikein ja selvisi yön yli.,,
"The Assassin tried to kill the Soldier, but the Soldier's ability prevented the death.","The Assassin yritti tappaa Soldierin, mutta Soldierin kyky esti kuoleman.",,
"The Scarlet Woman is now the Demon, as the original Imp was executed.","The Scarlet Woman on nyt Demon, koska alkuperäinen Imp teloitettiin.",,
"The Seer's visions have been consistent, indicating they might not be poisoned.","The Seer'in visiot ovat olleet johdonmukaisia, mikä viittaa siihen, etteivät he ole myrkytettyjä.",,
"The Saint was seen by the Demon, making them a high-risk target.","The Saint nähtiin Demonia, tehden heistä suuren riskin kohteen.",,
